ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2022,"2022",3609,"Illinois","04000US17","illinois",7601615,0.5958483367684008
0,"White Alone",1,"Hispanic or Latino",2022,"2022",12170,"Illinois","04000US17","illinois",787044,0.0616920033918515
1,"Black or African American Alone",0,"Not Hispanic or Latino",2022,"2022",4802,"Illinois","04000US17","illinois",1744151,0.13671429984588052
1,"Black or African American Alone",1,"Hispanic or Latino",2022,"2022",2316,"Illinois","04000US17","illinois",30454,0.0023871197433630717
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2022,"2022",798,"Illinois","04000US17","illinois",10119,0.000793172150886285
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2022,"2022",3166,"Illinois","04000US17","illinois",45700,0.0035821689194093513
3,"Asian Alone",0,"Not Hispanic or Latino",2022,"2022",3808,"Illinois","04000US17","illinois",731197,0.057314467557228875
3,"Asian Alone",1,"Hispanic or Latino",2022,"2022",823,"Illinois","04000US17","illinois",6874,0.0005388146422761462
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2022,"2022",431,"Illinois","04000US17","illinois",2979,0.00023350724750372993
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2022,"2022",636,"Illinois","04000US17","illinois",2497,0.00019572594730339496
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2022,"2022",2707,"Illinois","04000US17","illinois",40167,0.003148467811507996
5,"Some Other Race Alone",1,"Hispanic or Latino",2022,"2022",12602,"Illinois","04000US17","illinois",802386,0.06289457747416174
6,"Two or More Races",0,"Not Hispanic or Latino",2022,"2022",6945.358234101392,"Illinois","04000US17","illinois",351702,0.02756796440468507
6,"Two or More Races",1,"Hispanic or Latino",2022,"2022",11694.176713219276,"Illinois","04000US17","illinois",600749,0.04708937409554154
0,"White Alone",0,"Not Hispanic or Latino",2021,"2021",2623,"Illinois","04000US17","illinois",7721282,0.6021989245982607
0,"White Alone",1,"Hispanic or Latino",2021,"2021",10858,"Illinois","04000US17","illinois",978131,0.07628648148276691
1,"Black or African American Alone",0,"Not Hispanic or Latino",2021,"2021",4809,"Illinois","04000US17","illinois",1773138,0.13829073938295622
1,"Black or African American Alone",1,"Hispanic or Latino",2021,"2021",2094,"Illinois","04000US17","illinois",30875,0.0024080057945003565
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2021,"2021",752,"Illinois","04000US17","illinois",10358,0.0008078420735039577
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2021,"2021",2555,"Illinois","04000US17","illinois",32356,0.0025235120805458637
3,"Asian Alone",0,"Not Hispanic or Latino",2021,"2021",3656,"Illinois","04000US17","illinois",718559,0.05604191856487066
3,"Asian Alone",1,"Hispanic or Latino",2021,"2021",863,"Illinois","04000US17","illinois",6923,0.0005399392426016508
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2021,"2021",394,"Illinois","04000US17","illinois",3048,0.0002377198918748854
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2021,"2021",500,"Illinois","04000US17","illinois",2063,0.0001608976827224044
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2021,"2021",2182,"Illinois","04000US17","illinois",34562,0.002695562632211217
5,"Some Other Race Alone",1,"Hispanic or Latino",2021,"2021",12378,"Illinois","04000US17","illinois",761418,0.05938458157204445
6,"Two or More Races",0,"Not Hispanic or Latino",2021,"2021",6266.819448492193,"Illinois","04000US17","illinois",310790,0.024239161809644236
6,"Two or More Races",1,"Hispanic or Latino",2021,"2021",9131.711613930875,"Illinois","04000US17","illinois",438310,0.0341847131914964
0,"White Alone",0,"Not Hispanic or Latino",2020,"2020",2612,"Illinois","04000US17","illinois",7737459,0.6084743008976606
0,"White Alone",1,"Hispanic or Latino",2020,"2020",10849,"Illinois","04000US17","illinois",1136608,0.08938293026104413
1,"Black or African American Alone",0,"Not Hispanic or Latino",2020,"2020",4794,"Illinois","04000US17","illinois",1766586,0.13892444293735123
1,"Black or African American Alone",1,"Hispanic or Latino",2020,"2020",1895,"Illinois","04000US17","illinois",30074,0.00236502140110807
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2020,"2020",837,"Illinois","04000US17","illinois",13301,0.001045991542732541
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2020,"2020",2175,"Illinois","04000US17","illinois",20671,0.0016255688429309342
3,"Asian Alone",0,"Not Hispanic or Latino",2020,"2020",3345,"Illinois","04000US17","illinois",702457,0.055241266155422346
3,"Asian Alone",1,"Hispanic or Latino",2020,"2020",933,"Illinois","04000US17","illinois",7110,0.0005591308825523168
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2020,"2020",427,"Illinois","04000US17","illinois",3305,0.0002599054243087774
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2020,"2020",384,"Illinois","04000US17","illinois",1891,0.00014870836834127022
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2020,"2020",1969,"Illinois","04000US17","illinois",24851,0.0019542843266255453
5,"Some Other Race Alone",1,"Hispanic or Latino",2020,"2020",11279,"Illinois","04000US17","illinois",732299,0.05758804306078468
6,"Two or More Races",0,"Not Hispanic or Latino",2020,"2020",6351.726851809672,"Illinois","04000US17","illinois",277509,0.021823326594403784
6,"Two or More Races",1,"Hispanic or Latino",2020,"2020",7740.65862830806,"Illinois","04000US17","illinois",262043,0.020607079304733725
0,"White Alone",0,"Not Hispanic or Latino",2019,"2019",1090,"Illinois","04000US17","illinois",7829850,0.6131137921062788
0,"White Alone",1,"Hispanic or Latino",2019,"2019",11162,"Illinois","04000US17","illinois",1305053,0.10219173978169128
1,"Black or African American Alone",0,"Not Hispanic or Latino",2019,"2019",3752.9999999999995,"Illinois","04000US17","illinois",1783708,0.1396726598709179
1,"Black or African American Alone",1,"Hispanic or Latino",2019,"2019",1933,"Illinois","04000US17","illinois",29882,0.002339900040961171
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2019,"2019",850.9999999999999,"Illinois","04000US17","illinois",15108,0.0011830268997671297
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2019,"2019",1834.0000000000002,"Illinois","04000US17","illinois",18352,0.0014370472375249117
3,"Asian Alone",0,"Not Hispanic or Latino",2019,"2019",2563,"Illinois","04000US17","illinois",692370,0.054215801866015864
3,"Asian Alone",1,"Hispanic or Latino",2019,"2019",727,"Illinois","04000US17","illinois",6154,0.0004818869169424753
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",338,"Illinois","04000US17","illinois",2908,0.00022770996985192038
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",427,"Illinois","04000US17","illinois",1569,0.00012286002156040683
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",1424,"Illinois","04000US17","illinois",20480,0.0016036795675953678
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",11668,"Illinois","04000US17","illinois",736751,0.05769104126491479
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",5076.612748674062,"Illinois","04000US17","illinois",239820,0.018779025092808647
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",3508.521198453844,"Illinois","04000US17","illinois",88626,0.0069398293631692904
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",1461,"Illinois","04000US17","illinois",7894286,0.6157070426331652
0,"White Alone",1,"Hispanic or Latino",2018,"2018",10472,"Illinois","04000US17","illinois",1294899,0.10099436906626426
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",3855.0000000000005,"Illinois","04000US17","illinois",1796057,0.1400816924887944
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",2243,"Illinois","04000US17","illinois",28068,0.002189135948789755
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",817,"Illinois","04000US17","illinois",15037,0.0011727959691446327
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",1804,"Illinois","04000US17","illinois",16827,0.0013124052518984327
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",2738,"Illinois","04000US17","illinois",685343,0.05345265065381991
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",839,"Illinois","04000US17","illinois",5479,0.00042732919564696694
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",386,"Illinois","04000US17","illinois",3088,0.00024084551125348313
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",374,"Illinois","04000US17","illinois",1494,0.00011652305499116055
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",1493,"Illinois","04000US17","illinois",20105,0.0015680696255671238
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",10880,"Illinois","04000US17","illinois",742401,0.05790283303111953
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",4755.50144569424,"Illinois","04000US17","illinois",232739,0.01815224852448977
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",3500.5371016459744,"Illinois","04000US17","illinois",85674,0.006682059045055347
